rank,category,sentiment score
60,electronics,0.38246934400000004
60,fashion,0.682829213
60,grocery,0.9302363096999999
60,homeneeds,0.09936249300000001
60,pc,0.6029736667000001
60,petsupplies,0.480888808
60,toys,0.96302525725
61,electronics,0.6933224201000001
61,fashion,0.8508265704
61,grocery,0.8489786387
61,homeneeds,0.9372116565999999
61,pc,0.6248108925
61,petsupplies,0.54527037
61,toys,0.6659567656666666
62,electronics,0.973930836
62,fashion,0.776502877
62,grocery,0.023160547000000004
62,homeneeds,0.7370482772
62,pc,0.5146212186
62,petsupplies,0.7653813360000001
62,toys,0.974281788
63,electronics,0.624475363
63,fashion,0.7655603648000001
63,grocery,0.5500837116999999
63,homeneeds,0.906851262
63,pc,0.4170310677
63,petsupplies,0.6060671359999998
63,toys,0.5698382258000001
64,electronics,0.3968811752
64,fashion,0.8197677944285715
64,grocery,0.679103881
64,homeneeds,0.7173191191000001
64,pc,0.8237113835000001
64,petsupplies,0.680408225
64,toys,0.6912530751000001
65,electronics,0.7603356451999999
65,fashion,0.6033294111
65,grocery,0.9384093383333334
65,homeneeds,0.6802851766000001
65,pc,0.8576766523
65,petsupplies,0.547979989
65,toys,0.7295293212222222
66,electronics,0.6528291315000001
66,fashion,0.7856983632999999
66,grocery,0.5766300617999999
66,homeneeds,0.6934000701000002
66,pc,0.536299599
66,petsupplies,0.6117671010000001
66,toys,0.7427823440000001
67,electronics,0.5079308539999999
67,fashion,0.8461401789000002
67,grocery,0.5766300617999999
67,homeneeds,0.7714921981
67,pc,0.9367750048
67,petsupplies,0.506433091
67,toys,0.7430381119
68,electronics,0.7577018262
68,fashion,0.9314955174999999
68,grocery,0.973930836
68,homeneeds,0.94098058325
68,pc,0.828327644
68,petsupplies,0.6092946410000001
68,toys,0.8808562753333334
69,electronics,0.6264181165999999
69,fashion,0.7003218733333334
69,grocery,0.6178634165000001
69,homeneeds,0.7274435709999999
69,pc,0.9028929949
69,petsupplies,0.6148426260000001
69,toys,0.9040459632000001
70,electronics,0.42080965929999997
70,fashion,0.8722753973999999
70,grocery,0.47259563810000005
70,homeneeds,0.8151646972
70,pc,0.9028929949
70,petsupplies,0.812826945
70,toys,0.7214912474999999
71,electronics,0.8710814597000001
71,fashion,0.5850250304
71,grocery,0.5766300617999999
71,homeneeds,0.6267106085
71,pc,0.2898764373
71,petsupplies,0.6421740469999999
71,toys,0.7384956478888888
72,electronics,0.8999795854999999
72,fashion,0.7340590209000001
72,grocery,0.7239852790000001
72,homeneeds,0.4656056969999999
72,pc,0.9762135445
72,petsupplies,0.452171193
72,toys,0.47266716659999997
73,electronics,0.930352807
73,fashion,0.8626268028
73,grocery,0.7239852790000001
73,homeneeds,0.7810175001000002
73,pc,0.891881293
73,petsupplies,0.7287047390000001
73,toys,0.5771891005714286
74,electronics,0.8914540649000001
74,fashion,0.5861016360000001
74,grocery,0.7239852790000001
74,homeneeds,0.4224653333
74,pc,0.2097489179
74,petsupplies,0.506855922
74,toys,0.8868044345999999
75,electronics,0.2218148469
75,fashion,0.6913155079
75,grocery,0.7239852790000001
75,homeneeds,0.6425621927
75,pc,0.8420735132222223
75,petsupplies,0.6419959366666667
75,toys,0.765248564
76,electronics,0.5174716503000001
76,fashion,0.7956006556
76,grocery,0.9496654668333333
76,homeneeds,0.6637491494000001
76,pc,0.5146212186
76,petsupplies,0.8170097000000001
76,toys,0.8691792190000001
77,electronics,0.8347214668999999
77,fashion,0.8685417235000001
77,grocery,0.4614777864
77,homeneeds,0.3989493786999999
77,pc,0.6390639929999999
77,petsupplies,0.673953437
77,toys,0.5360738185
78,electronics,0.5079308539999999
78,fashion,0.5728806048
78,grocery,0.43280113049999996
78,homeneeds,0.7274435709999999
78,pc,0.5539237141
78,petsupplies,0.91124845
78,toys,0.7220330328
79,electronics,0.826109332
79,fashion,0.5928702293999999
79,grocery,0.200575183
79,homeneeds,0.6186562776000001
79,pc,0.7402750968999999
79,petsupplies,0.64791238
79,toys,0.6594625116666667
80,electronics,0.5005047470000001
80,fashion,0.962904244625
80,grocery,0.2881770432
80,homeneeds,0.9361767947
80,pc,0.3231959433
80,petsupplies,0.820919061
80,toys,0.935602665
81,electronics,0.5079308539999999
81,fashion,0.776502877
81,grocery,0.8544303982999999
