rank,link,Answered_Questions,Price,Discount,customer_review_count,Category
26,/Special-Amazon-Standing-Charcoal-Charger/dp/B081N87HH9/,1000,189.99,24,883,pc
27,/Fire-Tablet-2-Pack-Display-Kid-Proof/dp/B07Y11XR3P/,65,114.99,32,1000,pc
28,/Contixo-Parental-Education-Certified-Playstore/dp/B07Z471PT7/,17,54.99,0,64,pc
29,/BARNETT-Whitetail-Crossbow-Bottomland-Standard/dp/B07RC86KJ1/,57,22,0,37,pc
30,/NEW-Microsoft-Surface-Pro-Touch-Screen/dp/B07YNJGMH6/,76,279.98,41,4,pc
31,/Samsung-Flat-Monitor-Super-Slim-Design/dp/B07Y2RB6SV/,3,119.99,37,4,pc
32,/Wireless-Controller-Nintendo-Joystick-Vibration/dp/B07YJP3XZW/,999,29.99,8,9,pc
33,/Twilight-Special-Amazon-Standing-Charger/dp/B081N8NYZQ/,56,189.99,24,883,pc
34,/Tablet-Special-Amazon-Standing-Charger/dp/B081N87HHB/,1000,189.99,24,883,pc
35,/Samsung-Galaxy-128GB-Tablet-Mountain/dp/B07VGJH29F/,87,28.9,33,16,pc
36,/Carry-Case-Nintendo-Switch-Lite/dp/B07XRSXBS3/,17,18.99,0,55,pc
37,/Aesthetic-Stickers-Skateboard-HydroFlask-Waterproof/dp/B07Z7C68JP/,14,8.99,0,5,pc
38,/PICTEK-Upgraded-Programmable-Buttons-Computer/dp/B07WPSNJV7/,11,24.99,0,36,pc
39,/Tablet-Tagital-Android-Pre-Installed-Kid-Proof/dp/B07Z6287PH/,10,59.99,0,35,pc
40,/Samsung-Galaxy-128GB-Tablet-Cloud/dp/B07VFFCHL9/,146,549.99,15,78,pc
41,/Android-Display-Tablets-Quad-Core-Kid-Proof/dp/B07YC1YNYB/,4,59.95,0,45,pc
42,/Samsung-Galaxy-256GB-Tablet-Mountain/dp/B07V9PQ6CD/,854,11,50,25,pc
43,/Sceptre-30-inch-C305W-2560UN-DisplayPort-Build/dp/B07XZNXWGS/,0,199.97,20,11,pc
44,/Microsoft-Surface-Laptop-Touch-Screen-Memory/dp/B07YNK9T9Z/,43,999,23,17,pc
45,/Google-Nest-Wifi-AC2200-Coverage/dp/B07YMJ57MB/,123,45,45,36,pc
46,/Contixo-Parental-Education-Certified-Playstore/dp/B07Z48G4G6/,17,59.99,0,64,pc
47,/Google-Nest-Wifi-Router-Coverage/dp/B07YMKD6SM/,71,149,12,33,pc
48,/BeyondTab-Android-Unlocked-Phablet-Bluetooth/dp/B07YHFSW2Z/,18,89.99,0,62,pc
49,/Newest-Flagship-HP-Pentium-Keyboard/dp/B07XF1JWBM/,21,248.48,0,16,pc
50,/Contixo-Parental-Education-Certified-Playstore/dp/B07Z492NQ7/,17,54.99,5,64,pc
51,/Contixo-Parental-Education-Certified-Playstore/dp/B07Z48S2TR/,17,59.99,0,64,pc
52,/Samsung-Flat-Monitor-Super-Slim-Design/dp/B07Y2R9GK5/,3214,100,5,49,pc
53,/Acer-Chromebook-C732-C6WU-11-6-LCD/dp/B0799Z328L/,39,192.99,12,10,pc
54,/Fashion-Brand-Skateboard-Stickers-100PCS/dp/B07YJD3CKP/,0,7.99,0,51,pc
55,/Dragon-Touch-Android-Quad-Core-Processor/dp/B07WYZ1B6T/,32,69.99,0,68,pc
56,/Roberly-Stickers-Bottles-Waterproof-Skateboard/dp/B07XG7QG5C/,883,34,10,64,pc
57,/Acer-CB272-bmiprx-FreeSync-Technology/dp/B07WMTLW2R/,19,129.99,16,46,pc
58,/Alienware-AW2720HF-Inch-Edgelight-Monitor/dp/B07YQHGC9L/,23,0,0,9,pc
59,/Razer-Kraken-Kitty-Gaming-Headset/dp/B07XYPXB9Q/,102,149.99,0,266,pc
60,/ASUS-Chromebook-Clamshell-Processor-C425TA-DH384/dp/B07VT254P6/,11,143,20,76,pc
61,/HP-15-6inch-Laptop-Dual-Core-Processor/dp/B07ZWGY1RT/,62,239.99,0,40,pc
62,/Special-Amazon-Standing-Sandstone-Charger/dp/B081N96ZWP/,987,99.99,24,65,pc
63,/Samsung-Galaxy-256GB-Tablet-Cloud/dp/B07VFFC4FS/,146,629.99,14,78,pc
64,/Tablet-Tagital-Android-Pre-Installed-Kid-Proof/dp/B07Z5Y1PB1/,10,59.99,0,35,pc
65,/Contixo-Parental-Education-Certified-Playstore/dp/B07Z468QMZ/,93,199.99,25,81,pc
66,/HP-Pentium-Bluetooth-Windows-14-CF0012DX/dp/B07SHJ8HXY/,10,240.79,0,8,pc
67,/Android-Display-Tablets-Quad-Core-Kid-Proof/dp/B07YBZZMHT/,4,59.95,0,45,pc
68,/Android-Certified-Quad-Core-Processor-Bluetooth/dp/B07XSNC6BD/,11,345,17,86,pc
69,/Carry-Case-Nintendo-Switch-Lite/dp/B07XRRXR9C/,68,76,89,75,pc
70,/Carry-Case-Nintendo-Switch-Lite/dp/B07XRRZDP3/,54,14,65,71,pc
71,/NETGEAR-Nighthawk-12-Stream-Router-Rax200/dp/B07PNR2VMD/,305,548.99,9,"1,310",pc
72,/HP-17-BY1053DX-17-3-Laptop-i5-8265U/dp/B07Y5LZBK4/,0,89,11,2,pc
73,/Piy-Painting-Nintendo-Multiport-Portable/dp/B07ZDPL5MW/,9,21.99,0,28,pc
74,/Dell-Inspiron-i3583-Touch-Screen-Laptop/dp/B081721LTM/,81,411.95,0,71,pc
75,/Retro-Bit-Official-Wireless-Controller-8-Button/dp/B07XVHSNCS/,3,34.99,0,10,pc
76,/Special-Amazon-Standing-Sandstone-Charger/dp/B081N87HHF/,1000,189.99,24,884,pc
77,/Stickers-Waterbottle-Snowboard-Motorcycle-Supplies/dp/B07Y2RB885/,765,204,21,798,pc
78,/HP-Dual-Core-Processor-Bluetooth-14-cb161wm/dp/B07YXSLFDH/,151,174.99,50,200,pc
79,/Stickers-Bottles-Waterproof-Computer-Skateboards/dp/B07XB6NG7S/,45,43,18,18,pc
80,/Linksys-Tri-Band-Wireless-Future-Proof-MU-Mimo/dp/B07Y45V3TK/,53,229,8,194,pc
81,/Contixo-Parental-Education-Certified-Playstore/dp/B07Z47QP2L/,17,59.99,0,64,pc
82,/Acer-Aspire-2-60GHz-Windows-Renewed/dp/B07X6CB1N4/,17,280,20,5,pc
83,/PHILIPS-T-Shaped-Extender-SPS1630G-37/dp/B07X3NNZ6H/,4,3.99,0,49,pc
84,/HooToo-Adapter-Delivery-Ethernet-Space/dp/B07YB2ZNRN/,85,34,50,54,pc
85,/Android-Learning-Entertaining-Quad-Core-Kid-Proof/dp/B07YCTD7KP/,0,59.99,0,41,pc
86,/Samsung-Monitor-Bezel-LESS-Design-LS24R350FHNXZA/dp/B07Y2QPG3B/,0,118.23,21,0,pc
87,/HP-Elite-Desktop-Computer-Package/dp/B07YF41Y6H/,5,190,0,5,pc
88,/Sceptre-DisplayPort-C275B-144RN-AmazonBasics-High-Speed/dp/B07Z282N5P/,127,161.98,0,175,pc
89,/Microsoft-Surface-Laptop-Touch-Screen-Sandstone/dp/B07YNKTF6H/,43,999,23,17,pc
90,/Acer-Performance-11-6inch-Laptop-Processor/dp/B07Z5H9P6D/,181,169.99,0,255,pc
91,/NEW-Microsoft-Surface-Pro-Touch-Screen/dp/B07YNHXX8D/,47,799,11,11,pc
92,/Dragon-Touch-Octa-Core-Processor-1200x1920/dp/B07Y1PSS27/,27,145.99,0,73,pc
93,/Google-Pixelbook-Chromebook-64GB-Black/dp/B07YMGQYP6/,28,649,0,8,pc
94,/LG-34WN80C-B-inch-Connectivity-Compatibility/dp/B07YGZ7C1K/,54,31,50,78,pc
95,/HP-Touchscreen-Dual-Core-Processor-Bluetooth/dp/B07XV8BWWK/,3,333,0,2,pc
96,/ProCase-Nintendo-Shock-Proof-Anti-Scratch-Protective/dp/B07X5KQXDS/,0,11.99,0,19,pc
97,/Android-Tablet-Inch-Card-Slots/dp/B07ZFD7N7M/,0,74.99,13,9,pc
98,/Nintendo-Shockproof-Anti-Scratch-Protective-Protectors/dp/B07X4DR9FH/,0,14.99,0,32,pc
99,/AKEROCK-Stickers-Hydroflasks-Skateboard-Notebook/dp/B07Y87SGJV/,0,97,14,900,pc
100,/SteelSeries-Arctis-Wireless-Gaming-Headset/dp/B07X64MTGL/,14,99.99,0,20,pc
1,/Christmas-Pajamas-One-Piece-Snowflake-Sleepwear/dp/B07XB4XG3J/,15,11.87,0,1,fashion
2,/sullcom-Leopard-Patchwork-Crewneck-Pullovers/dp/B07X4FGNBJ/,0,16.5,0,87,fashion
3,/Yincro-Womens-Casual-Sleeve-Blouses/dp/B07XQ9WX45/,11,20.5,0,404,fashion
4,/Winter-Hat-NRUTUP-Men-Women-Baggy-Warm-Crochet-Faux-Wool-Knit-Ski-Beanie-Skull-Slouchy-Caps-Hat-with-Faux-Fur-Pompom-Beige-Free-Size/dp/B081YNFZ61/,0,34.99,36,0,fashion
5,/Lionstill-Womens-Elegant-Sweater-Dresses/dp/B07WDHZVM3/,19,22,0,463,fashion
6,/Amazon-Essentials-Lightweight-Turtleneck-Sweater/dp/B07QD329F9/,0,17.6,0,0,fashion
7,/Amazon-Essentials-Standard-Quarter-Zip-Fleece/dp/B07NYB2L58/,5,13,35,70,fashion
8,/DB-MOON-Dresses-Pleated-Pockets/dp/B07XCQXDNX/,14,23.5,0,573,fashion
9,/Amazon-Essentials-Womens-Quarter-Zip-Pullover/dp/B07QTDHM5L/,14,13,35,133,fashion
10,/HIYIYEZI-Women-Sleeve-Split-Casual/dp/B07XD53MGT/,4,17,0,334,fashion
11,/Vibola-Messenger-Crossbody-Shoulder-Handbags/dp/B081V3HRPS/,0,6.99,86,0,fashion
