rank,category,product_link,name,avg_rating,review link,rating_count,prime,Images
37,toys,/LEGO-Star-Wars-Wing-Starfighter/dp/B07Q2TQ48C/,"            LEGO Star Wars: The Rise of Skywalker Resistance A-Wing Starfighter 75248 Advanced Collectible Starship Model Building Kit, New 2019 (269 Pieces)        ",4.4 out of 5 stars,/product-reviews/B07Q2TQ48C/,32,prime,6
38,toys,/Wingspan-with-Swift-Start-Pack/dp/B07YQ641NQ/,            Wingspan with Swift Start Pack        ,4.7 out of 5 stars,/product-reviews/B07YQ641NQ/,156,prime,5
39,toys,/LEGO-Potter-Calendar-75964-Building/dp/B07NRSY3RW/,"            LEGO Harry Potter Advent Calendar 75964 Building Kit, New 2019 (305 Pieces)        ",4.7 out of 5 stars,/product-reviews/B07NRSY3RW/,103,no prime,7
40,toys,/Frozen-Sisters-Musical-Snow-Wand/dp/B07KWZQ1RX/,"            Frozen 2 Sisters Musical Snow Wand Costume Prop Scepter, Plays ""Into The Unknown"" Perfect for Child Costume Accessory, Role Play, Dress Up or Halloween Party        ",2.6 out of 5 stars,/product-reviews/B07KWZQ1RX/,9,prime,7
41,toys,/Decorate-Personalize-Rhinestone-Stickers-Children/dp/B07TVF82RL/,"            Decorate & Personalize Your Own Water Bottles for Girls with Tons of Rhinestone Glitter Gem Stickers! BPA Free 20 oz Kids Water Bottle! Cute Gift for Girl, Fun DIY Art and Craft for Children        ",4.4 out of 5 stars,/product-reviews/B07TVF82RL/,49,prime,6
42,toys,/Owleez-GLC-INA-White-ECMX/dp/B07P6Y6478/,"            Owleez, Flying Baby Owl Interactive Toy with Lights & Sounds (White), for Kids Aged 6 & Up        ",3.5 out of 5 stars,/product-reviews/B07P6Y6478/,72,prime,6
43,toys,/Disney-Frozen-Frz-Character-Elsa/dp/B07MJH9675/,            Disney Frozen Elsa Fashion Doll with Long Blonde Hair & Blue Outfit Inspired by Frozen 2 - Toy for Kids 3 Years Old & Up        ,4.8 out of 5 stars,/product-reviews/B07MJH9675/,15,no prime,3
44,toys,/Disney-Frozen-Palace-Little-People/dp/B07PC36346/,            Disney Frozen Elsa's Ice Palace by Little People        ,4.7 out of 5 stars,/product-reviews/B07PC36346/,68,prime,5
45,toys,/LEGO-at-St-Raider-Building-540Piece/dp/B07Q2WB3D3/,"            LEGO Star Wars AT-ST Raider 75254 The Mandalorian Collectible All Terrain Scout Transport Walker Posable Building Model, New 2019 (540 Pieces)        ",4.8 out of 5 stars,/product-reviews/B07Q2WB3D3/,32,prime,7
46,toys,/LEGO-Friends-Calendar-41382-Building/dp/B07PX3WG21/,"            LEGO Friends Advent Calendar 41382 Building Kit, New 2019 (330 Pieces)        ",4.5 out of 5 stars,/product-reviews/B07PX3WG21/,63,no prime,6
